#START7777
#--------------------------------------------------------------------------------------------------
#  S     : 장비구분 (1:안개관측망(먼저 설치), 2:첨단화장비)
#  VIS1  : 1분 평균 시정(m)  : 샘플링은 1초간격(첨단화)
#  VIS10 : 10분 평균 시정(m) : 안개관측망에서만 있음
#  WW1   : 1분 순간 현천(코드)  : 샘플링은 1초간격(첨단화)
#  WW15  : 15분 평균 현천(코드) : 안개관측망에서만 있음
#--------------------------------------------------------------------------------------------------
# 현천코드 : 0~2(맑음), 4(연무), 10(박무), 30(안개), 40~42(비), 50~59(안개비), 60~68(비), 71~76(눈)
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI,STN, LON., LAT.,S,VIS1,VIS10,WW1,WW15,=
#        KST, ID,(deg),(deg), , (m),  (m),   ,    ,=
202410240027,   90,128.56472778, 38.25085068,1, 50000,  -999,     0,  -999,=
202410240027,   95,127.30419922, 38.14786911,2,  6812,  -999,     4,  -999,=
202410240027,   98,127.06069946, 37.90187836,2, 15806,  -999,     0,  -999,=
202410240027,   99,126.76647949, 37.88589096,2,  4724,  -999,     0,  -999,=
202410240027,  100,128.71833801, 37.67713165,2, 27092,  -999,     0,  -999,=
202410240027,  101,127.73570251, 37.90261841,2,  6410,  -999,     4,  -999,=
202410240027,  102,124.71237183, 37.97396088,2, 40281,  -999,     0,  -999,=
202410240027,  104,128.85534668, 37.80456161,1, 50000,  -999,     0,  -999,=
202410240027,  105,128.89099121, 37.75146866,2, 50000,  -999,     0,  -999,=
202410240027,  106,129.12432861, 37.50709152,2, 46200,  -999,     0,  -999,=
202410240027,  108,126.96579742, 37.57141876,1, 16999,  -999,     0,  -999,=
202410240027,  112,126.62490082, 37.47771835,1, 32740,  -999,     0,  -999,=
202410240027,  114,127.94658661, 37.33749008,1, 26200,  -999,     0,  -999,=
202410240027,  115,130.89863586, 37.48128891,1, 50000,  -999,     0,  -999,=
202410240027,  119,126.98300171, 37.25746155,2, 25870,  -999,  -999,  -999,=
202410240027,  121,128.45742798, 37.18125916,1, 16410,  -999,     0,  -999,=
202410240027,  127,127.95249939, 36.97045135,2, 25375,  -999,     0,  -999,=
202410240027,  129,126.49389648, 36.77658081,2, 13399,  -999,  -999,  -999,=
202410240027,  131,127.44065857, 36.63924026,2, 44778,  -999,     0,  -999,=
202410240027,  133,127.37210083, 36.37199020,1, 27040,  -999,     0,  -999,=
202410240027,  135,127.99458313, 36.22024918,2, 28991,  -999,     0,  -999,=
202410240027,  136,128.70733643, 36.57292938,2, 23331,  -999,     0,  -999,=
202410240027,  137,128.15740967, 36.40837097,2, 30324,  -999,     0,  -999,=
202410240027,  138,129.38002014, 36.03200912,2, 48563,  -999,     0,  -999,=
202410240027,  143,128.65295410, 35.87797165,2, 36803,  -999,     0,  -999,=
202410240027,  146,127.11717987, 35.84091949,2, 24615,  -999,     0,  -999,=
202410240027,  155,128.57281494, 35.17018890,1, 41680,  -999,     0,  -999,=
202410240027,  156,126.89156342, 35.17293930,1, 34671,  -999,     0,  -999,=
